Fecha,PATRIMONIO,RESULTEX,ACTIVO_T,PASIVO_T,PATRIMONIO_T,Activo Biológico,Capital Social,Cuentas por Cobrar Comerciales,Cuentas por Cobrar a Relacionadas,Cuentas por Pagar Comerciales,Cuentas por Pagar a Relacionadas,Efectivo y Equivalente de Efectivo,Existencias,Gastos Pagados por Anticipado y Otros Activos,Impuestos por Recuperar,"Inmueble, Maquinaria y Equipo, Neto",Instrumento Financiero Derivados,Instrumentos Financieros Derivados,Inversiónes Mobiliarias,Obligaciones Financieras,Otras Cuenta por Cobrar Largo Plazo,Otras Cuentas por Pagar,Otras Cuentas por Pagar Largo Plazo,Parte Corriente de Activo Biológico,Pasivo por Impuesto a la Renta Diferido,Porcion Corriente de Obligaciones Financieras,Reserva Legal,Resultados Acumulados,Sobregiros Bancarios,ACTIVO_CORR,ACTIVO_NCORR,PASIVO_CORR,PASIVO_NCORR,CxC,INVENTARIOS,CxP,CAPEX,ACT_FIJ,CASH,DEUDA_TOT,Cambios en el Valor Razonable de Activos Biológicos,Costo de Venta - NIC 41,Costo de Ventas,Depr. De Gastos de Administración,Depr. De Gastos de Venta,"Diferencia de Cambio, Neta",Gastos Financieros,Gastos de Administración,Gastos de Venta,Impuesto a la Renta Corriente,Impuesto a la Renta Diferido,Ingresos Financieros,"Instrumentos Financieros, Netos",Otros Gastos,Otros Gastos - NIC 41,Otros Ingresos,Restitución de Derechos Arancelarios,Ventas,uti_bruta,EBIT,EBITDA,EBT,Utilidad Neta,costo_venta,Ratio de Liquidez,Ratio Rápido,Ratio de Cash,Deuda/Activos,Deuda/Patrimonio,Apalancamiento,Cobertura de Intereses,Margen Ebitda,ROA,ROE,rotacion_trabajo,rotacion_fijos,Rotación de Activos,rotacion_inventarios,rotacion_cxp,dias_inventario,dias_cxp,mg_bruto,Margen Neto,mg_operativo,carga_impositiva,carga_intereses,ventas12M,Var 12M Util. Neta,Var 12M de Ebitda
1-Ene-18,236102191.8,25714597.26,459466149.4,197649360.4,261816789.1,92415736.3,69449428.39,89756769.54,781599.38,24989264.65,112561.05,18329754.25,9386873.2,6000321.83,0,132717328.5,1437490.68,0,87952153.44,110972624.7,309479.4,-6226897.06,4400979.86,21816133.62,11625472.94,50018897.98,32752998.29,133899765.1,318965.61,146071451.8,313394697.6,70650282.91,126999077.5,90538368.92,31203006.82,18874928.64,75421168.91,313085218.2,18329754.25,161310488.3,0,-418863.55,-22798033.79,-43290.21,-2121.57,1301804.9,-21212.77,-1068302.07,-3532570.79,0,0,567.07,127943.02,-116268.78,-251380.31,255457.52,1541530.34,50739338.25,29063971.25,24305495.04,24350906.82,25714597.26,25714597.26,-23216897.34,2.067528194,1.625873815,0.259443466,35.11 %,0.616119726,1.754914767,1145.795435,47.99 %,,,,,,,,,,57.28 %,50.68 %,47.90 %,1,1.057974636,,,
1-Feb-18,236102191.8,21832408.14,435731936.9,177797336.9,257934599.9,92345507.02,69449428.39,60948934.32,1164351.35,17481503.41,113699.51,15721074.71,8592858.24,9877818.93,0,132476983.2,1551570.25,0,89718817.53,112110982.3,309829.49,-6976572.07,7391735.24,24575762.11,11625472.94,34264774.54,32752998.29,133899765.1,234170.78,120880799.7,314851137.2,46669146.42,131128190.5,62113285.67,33168620.35,10618630.85,74211653.24,314541307.7,15721074.71,146609927.7,0,-837727.1,-24776385.88,-85857.3,-4243.14,487235.64,-90081.7,-2154203.65,-4323182.44,0,0,1335.39,28609.24,-116373.57,-251380.31,604390.67,1572929.48,51777342.81,27736159.31,21405309.57,21495410.01,21832408.14,21832408.14,-25614112.98,2.590165215,1.87944683,0.336862272,33.65 %,0.568399616,1.689311698,237.6210659,41.52 %,,,,,,,,,,53.57 %,42.17 %,41.34 %,1,1.019952927,,,
1-Mar-18,236102191.8,4006410.6,397918660.7,157810058.3,240108602.4,92386583.78,69449428.39,24208442.71,1144595.38,12696379.94,116652.94,10494015.79,8791600.86,10297013.2,0,132311864.5,1454761.73,0,89718817.53,111386572.9,307722.67,-7233474.86,7551469.91,28258004.28,11625472.94,20041817.51,34978930.77,131673832.6,170405.27,83193672.22,314724988.5,27246542.53,130563515.8,25353038.09,37049605.14,5579558.02,55947129.69,314417265.8,10494015.79,131598795.7,0,-1256590.65,-25193644.01,-128467.91,-6377.37,1241191.68,-1697639.1,-3545179.12,-4618245.19,0,0,1415.63,115392.23,-116879.35,-251380.31,743884.46,-1171984.52,39890914.13,12268694.95,4346050.16,4480895.44,4006410.6,4006410.6,-26450234.66,3.053366207,1.69357514,0.385150365,33.07 %,0.548080304,1.6572445,2.560055409,11.23 %,,,,,,,,,,30.76 %,10.04 %,10.89 %,1,0.92185098,,,
1-Abr-18,236102191.8,2104242.02,380879279.5,142672845.6,238206433.8,92290341.8,69449428.39,7076400.68,1168647.27,6986041.43,117081.92,6897853.65,10032283.42,10187523.72,0,132063142.1,1496542.02,0,89718817.53,111800521.2,307242.47,-7741783.87,7540818.67,31137026.79,11625472.94,10623644.89,34978930.77,131673832.6,224506.5,66499735.53,314379543.9,11706032.89,130966812.8,8245047.95,41169310.21,-638660.52,54793702.64,314072301.5,6897853.65,122648672.5,0,-1675454.2,-25586646.98,-171380.14,-8531.65,766571.72,-1842902.26,-4430015.23,-4773378.85,0,0,19259.63,79018.3,-117247.32,-251380.31,803217.72,-1171984.52,40465096.11,12031010.41,3082294.63,3262206.42,2104242.02,2104242.02,-27262101.18,5.680808875,2.163877853,0.589256302,32.20 %,0.514883963,1.598946231,1.672522031,8.06 %,,,,,,,,,,29.73 %,5.20 %,7.62 %,1,0.682686853,,,
1-May-18,226274191.8,-775978.63,389612988.2,164114775,225498213.2,92487475.34,69449428.39,5610094.5,1336077.3,6430530.52,118255.34,12542469.27,11157806.14,10094338.72,0,131700864.5,1186527.19,24405.74,89718817.53,121089887.4,307509.88,-8085027.75,16981522.34,34633129.26,11625472.94,14632154.47,34978930.77,121845832.6,135452.49,75398320.93,314214667.2,14417892.26,149696882.7,6946171.8,45790935.4,-1536241.89,60980428.67,313907157.3,12542469.27,135857494.4,0,-2094317.75,-26243550.92,-215162.45,-10673.48,-454320.19,-1895118.59,-6043905.68,-4941412.83,0,0,19515.24,427768.15,-119038.08,-251380.31,1317002.1,-1171984.52,40900600.68,11390747.49,1126176.76,1352012.69,-775978.63,-775978.63,-28337868.67,5.229496765,2.053516908,0.869923914,34.87 %,0.602477033,1.727787474,0.594251339,3.31 %,,,,,,,,,,27.85 %,-1.90 %,2.75 %,1,-0.689038042,,,
1-Jun-18,226274191.8,-2902366.68,394712507.7,171340682.6,223371825.1,92192828.02,69449428.39,4878698.31,1425409.79,7680287.7,118324.63,12859346.18,13101824.65,10452711.24,0,132550265.1,1177359.74,24398.28,89718817.53,134258878.8,306379.25,-8491245.05,17155907.14,37201829.37,11625472.94,7405615.08,34978930.77,121845832.6,410081.62,79944217.82,314768289.9,8300423.72,163040258.9,6304108.1,50303654.02,-692632.72,71643794.1,314461910.7,12859346.18,142074575.5,0,-2513181.3,-27303821.46,-258828.5,-12792.24,-439867.65,-1933068.33,-7147369.84,-5733045.1,0,0,21287.08,437660.86,-120207.44,-251380.31,1588850.55,-1171984.52,41935381.52,10946394.24,-988378.64,-716757.9,-2902366.68,-2902366.68,-29817002.76,9.631341786,3.570969965,1.549239727,35.99 %,0.636045192,1.767064882,-0.511300415,-1.71 %,,,,,,,,,,26.10 %,-6.92 %,-2.36 %,1,2.936492719,,,
1-Jul-18,226274191.8,-4283574.07,399116399.2,177125781.5,221990617.7,91955941.7,69449428.39,8902435.51,2044439.05,9918584.46,118254.02,9669487.26,14576342.21,10206380.58,0,133378025.7,1174305.45,24390.82,89718817.53,134896001.7,305249.29,-5052071.6,16892723.19,38334889.54,11625472.94,7401091.17,34978930.77,121845832.6,151420.14,83758364.97,315358034.2,13711583.64,163414197.8,10946874.56,52911231.75,4984766.88,70046781.33,315052784.9,9669487.26,142448513,0,-2932044.85,-31881644.51,-301848.53,-14985.7,-356368.38,-1957892.13,-8165724.77,-6369484.9,0,0,21713.3,439995.93,-126719.92,-251380.31,1714626.37,-1171984.52,47070168.85,11084494.97,-2431022.79,-2114188.56,-4283574.07,-4283574.07,-34813689.36,6.108584331,2.249713383,0.705205723,35.69 %,0.641687088,1.797897602,-1.241653078,-4.49 %,,,,,,,,,,23.55 %,-9.10 %,-5.16 %,1,1.762046036,,,
1-Ago-18,226274191.8,958749.2,405927687.4,178694746.4,227232941,89980158.39,69449428.39,19728171.84,3313785.35,12010737.04,131220.94,2370803.54,15842909.34,10091861.61,0,133626330.1,1156349.84,24577.4,89718817.53,135798500.5,305187.37,-5706094.12,16878008.19,40925084.92,11625472.94,6716073.06,34978930.77,121845832.6,84478.02,92297194,313630493.4,14392764.78,164301981.6,23041957.19,56767994.26,6435863.86,77904429.22,313325306,2370803.54,142599051.6,0,-3339240.7,-37411236.68,-344886.51,-17180.95,-1298314.6,-2013819.48,-9508004.57,-8144266.15,0,0,22107.11,467282.82,-697315.71,-1709844.03,1758705.21,1219046.39,61975717.05,22444286.06,3781493.35,4143560.81,958749.2,958749.2,-40750477.38,6.41274942,2.468545848,0.164721899,35.13 %,0.627545685,1.78639455,1.87777176,6.69 %,,,,,,,,,,36.21 %,1.55 %,6.10 %,1,0.253537191,,,
1-Set-18,226274191.8,1456022.32,420587972.3,192857758.2,227730214.1,89799777.06,69449428.39,24238303.94,4462417.28,18828798.21,132092.57,5780960.52,15890444.49,9940320.84,0,133650326.3,1158906.28,73947.23,89718817.53,142696946.7,304294.4,-5110417.89,16762505.98,46728362.72,11625472.94,6724218.69,34978930.77,121845832.6,39234.76,107114757,313473215.3,21772832.62,171084925.6,28700721.22,62618807.21,13850472.89,85341924.4,313168920.9,5780960.52,149460400.1,0,-3746436.55,-45334327.02,-387729.47,-19376.2,-1549223.37,-2022578.9,-10477456.82,-9391737.39,0,0,28508.41,427921,-697315.71,-1709844.03,2406693.58,1229946.2,72698978.59,24848161.22,4571395.18,4978500.85,1456022.32,1456022.32,-49080763.57,4.919651884,2.043645427,0.26551256,35.54 %,0.656304657,1.846869437,2.260181385,6.85 %,,,,,,,,,,34.18 %,2.00 %,6.29 %,1,0.318507209,,,
1-Oct-18,226274191.8,-2851242.87,422855552.9,199432604,223422948.9,89570537.81,69449428.39,21564295.07,4170039.23,24997934.07,0,1739858.77,19980303.95,9846560.18,0,133444705.4,1279123.64,75270.12,89718817.53,144711751.9,372718.99,-6789483.15,16752287.72,52372445.81,11625472.94,6725736.53,34978930.77,121845832.6,129780.32,109748773.1,313106779.8,26343091.41,173089512.6,25734334.3,72352749.76,18208450.92,83405681.72,312734060.8,1739858.77,151567268.8,0,-4153632.4,-48083591.38,-430607.49,-21571.45,-3737166.73,-2041888.82,-11491204.42,-10173220.08,0,0,29953.66,328059.95,-698234.03,-1709844.03,2549731.28,1329660.37,75452312.66,24544749.25,2569799.03,3021977.97,-2851242.91,-2851242.91,-52237223.78,4.166131128,1.419576115,0.066046112,35.84 %,0.6783872,1.892623631,1.258540134,4.01 %,,,,,,,,,,32.53 %,-3.78 %,3.41 %,1,-1.109519802,,,
1-Nov-18,226274191.8,-3039227.77,431967430.5,208732466.5,223234964,85814321.58,69449428.39,38576490.88,4160099.76,28443449.07,740708.39,4633870.04,19165788.61,9718001.18,0,134093318,1286302.28,75696.13,89718817.53,145252486.9,372742.13,-7300513.46,16753792.74,45638284.66,11625472.94,11832268.97,34978930.77,121845832.6,98498.64,121968231.3,309999199.3,35100713.89,173631752.6,42736590.64,64804073.27,21883644,86867517.37,309626457.1,4633870.04,157183254.5,0,-4535085.65,-68613806.56,-473500.72,-23766.7,-4634219.74,-2072521.46,-12822662.52,-12781134.76,0,0,35762.46,328114.45,-1956173.94,-4850441.73,2587623.62,1679361.67,105093223.8,33623693.26,3303636.51,3800903.93,-3039227.78,-3039227.78,-73148892.21,3.47480771,1.628575367,0.132016404,36.39 %,0.704115752,1.935034829,1.594017999,3.62 %,,,,,,,,,,31.99 %,-2.89 %,3.14 %,1,-0.91996434,,,
1-Dic-18,207569218.6,3.78489E-06,429225235.1,221656016.5,207569218.6,73482227.54,69449428.39,55661524.47,4284388.39,29810054.82,398343.68,6698990.88,24445936.43,9369945.54,0,135346502.7,1272188.75,75404.65,89718817.53,115994403.7,381442.44,-9067097.24,16772363.74,29760054.49,11625472.94,54280229.21,34978930.77,103140859.5,570056.87,130296244.9,298928990.2,77263776.09,144392240.4,59945912.86,54205990.92,21141301.26,53032468.76,298547547.8,6698990.88,170844689.8,0,-4825138.82,-90857742.47,-516306.25,-25961.95,-5021808.33,-7148566.01,-14533379.28,-18273991.24,-643206,0,42236.11,427608.43,-3637007.25,-15909852.68,3724767.68,2040967.58,136452407.3,42810493.58,-6361237.39,-5818969.19,-18061767.19,-18704973.19,-95682881.29,1.686382047,0.984811483,0.086702867,39.80 %,0.823073339,2.067865544,-0.88986202,-4.26 %,-4.21 %,-7.97 %,2.124539402,0.446190639,0.307086149,2.240580825,5.931886421,162.9041881,2.240580825,31.37 %,-13.71 %,-4.66 %,1.035611466,2.839348083,,,
1-Ene-19,207569218.6,15137002.97,442579108.3,219872886.7,222706221.6,72589041.87,69449428.39,79813442.67,5708129.61,29046116.02,86649.72,9229618.96,18604911.03,10596338.33,0,135098892.3,1196215.05,75135.59,89718817.53,115508153.6,378490.02,-9254085.45,17441038.24,20766290.45,11625472.94,54038625.8,34978930.77,103140859.5,184700.82,144793866.6,297785241.7,75298221.96,144574664.8,85521572.28,39371201.48,19878680.29,69495644.68,297406751.7,9229618.96,169731480.2,0,-265226.58,-21267378.47,-42818.6,-2195.25,660325.2,-23985.41,-1225821.44,-4601903.61,0,0,670.09,70311.14,-1183430.99,-2979191.4,51247.17,129527.3,45816873.82,24413796.07,14429681.95,14474695.8,15137002.97,15137002.97,-21532605.05,1.922938721,1.400068453,0.122574195,38.35 %,0.76213174,1.987277702,601.6024721,31.59 %,3.45 %,6.30 %,0.637641574,0.149741054,0.104329495,0.593676811,1.818861083,614.8126273,0.593676811,53.29 %,33.04 %,31.49 %,1,1.049018476,-9.70 %,-41.13 %,-40.56 %
1-Feb-19,207569218.6,8176233.79,426344746.5,210599294.1,215745452.4,74355593.9,69449428.39,52496355.12,5678032.37,23538162.61,0.5,16767305.86,18126202.92,10561049.19,0,134816503,1114956.63,74081.76,89718817.53,113919736.5,375698.79,-3830251.71,17364664.24,23375106.09,11625472.94,46629529.58,34978930.77,103140859.5,237022.78,127078133.3,299266613.2,67689420.39,142909873.7,58174387.49,41501309.01,19707911.4,59388712.92,298890914.4,16767305.86,160786288.9,0,-530453.16,-24097624.62,-87095.62,-4548.98,2335123.83,-73042.77,-2370213.52,-5796223.73,0,0,1114.9,134098.76,-1183430.99,-2979191.4,70871.96,456531.46,42300317.67,18128771.35,5778939.07,5870583.67,8176233.79,8176233.79,-24628077.78,1.877370682,1.264257011,0.247709402,37.71 %,0.745259226,1.976147083,79.1171949,13.88 %,1.98 %,3.59 %,0.733515561,0.137941476,0.102637864,0.627060246,2.29993608,582.081231,0.627060246,42.86 %,19.33 %,13.66 %,1,1.414833015,-18.30 %,-62.55 %,-72.69 %
1-Mar-19,196966739.9,5583646.84,383424685.1,180874298.4,202550386.7,75497793.41,92599237.39,19605897.5,5851446.13,15234959.74,32038.06,14455442.67,13763707.29,10663658.47,0,135613282.5,1142286.88,0,89718817.53,107655777.6,374090.25,-4475470.24,17374078.22,17880549.34,4645345.49,38949085.48,12032123.59,92335378.89,316197.14,82220701.4,301203983.7,51199097.06,129675201.3,25457343.63,31644256.63,10791527.56,31021604.34,300829893.4,14455442.67,146921060.2,2292658.99,-795679.74,-29617325.69,-131329.83,-6902.71,1819589.89,-1640573.52,-3563821.53,-6069858.82,0,6980127.45,9614.06,37588.59,-1183430.99,-2979191.4,285760.5,1101834.15,39044587.44,12026075.15,-1622699.63,-1484467.09,-1396480.61,5583646.84,-30413005.43,1.605901395,0.987838608,0.282337844,38.32 %,0.725355614,1.892984216,-0.989105097,-3.80 %,1.46 %,2.53 %,0.909967902,0.126994464,0.102170312,0.83536645,4.114690317,436.9339945,0.83536645,30.80 %,14.30 %,-4.16 %,-3.998370475,0.860590946,-2.12 %,39.37 %,-133.13 %
